ISO,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
AUS,Australia,0.8240675580577057,0.8575361321403991,0.8896713615023473,0.9114166933162777,0.9146224912392478,0.9529769959404599,0.9745222929936308,0.9769283746556472,0.9909122684376093,1.0,1.0,0.9999999999999998,0.9999999999999998,0.9795644891122275,0.9564928595151112,0.9493333333333329,0.9323594791997463,0.9150591163658992,0.8917723385432026,0.8877980364656379,0.8630102040816325,0.9192166462668299,0.9610943775100402,0.9548169306673595,0.9384853967433446
CAN,Canada,0.8874032371569323,0.9191328286304201,0.9587525150905429,0.98081228014071,0.9831156419241796,0.983423545331529,1.0000000000000002,1.0000000000000002,1.0,0.98083747338538,0.9734687192924993,0.9746258945998696,0.9940278699402787,1.0,0.9830621056127533,0.9636666666666664,0.9368053350269927,0.9371499688861233,0.9076968445886171,0.9012622720897616,0.805612244897959,0.8930232558139537,0.9282128514056225,0.9207997922617503,0.8769707934866893
DEU,Germany,0.6642329345531315,0.700447350309704,0.7244718309859148,0.7324734392211205,0.738947293901101,0.746955345060893,0.7986553432413308,0.8453856749311297,0.8825585459629499,0.9052519517388218,0.932197838191942,0.9713728041639558,0.9900464499004646,0.9983249581239533,0.9973430753902359,0.9773333333333329,0.9733248650365198,0.9611076540136902,0.9333529932173403,0.9309957924263677,0.9599489795918366,0.9441860465116279,0.9565763052208838,0.9548169306673595,0.9480485913672787
FRA,France,0.6642329345531315,0.700447350309704,0.7244718309859148,0.7329708986248802,0.7209302325581393,0.7029769959404599,0.6924982307147916,0.6986914600550966,0.7147850401957356,0.7295954577714694,0.7382902063544052,0.7280416395575797,0.7355673523556734,0.725293132328308,0.7226834938558617,0.7006666666666665,0.6976818037472212,0.6904169259489732,0.675317015629608,0.6709677419354838,0.7033163265306119,0.7397796817625459,0.7407128514056225,0.7276032199428721,0.7288705091754977
GBR,United Kingdom,0.9429978888106971,0.9814177563661386,0.9999999999999998,1.0,1.0000000000000002,1.0,0.9996461429582448,0.9734848484848488,0.9699405802167074,0.9591909155429388,0.937111038322961,0.924202992843201,0.9545454545454548,0.9654941373534336,0.9999999999999998,0.9999999999999998,0.9955541441727533,0.9844430616054758,0.9548805662046591,0.9436185133239829,0.9323979591836733,0.9246022031823746,0.9151606425702812,0.8989872760321995,0.6877041283864753
ITA,Italy,0.28219563687544014,0.36889194769442524,0.42655935613682083,0.4665813879117364,0.5141764893278111,0.4807171853856562,0.4865534324133052,0.487258953168044,0.48234882908074095,0.4623846699787082,0.47199475925319345,0.46942094990240735,0.4601857996018579,0.4093802345058628,0.4154765858518765,0.4116666666666666,0.44522070498570976,0.4517734909769757,0.44971984665290465,0.46535764375876565,0.4826530612244897,0.5194614443084455,0.5404116465863456,0.5466112698000518,0.5544068234685966
JPN,Japan,0.8201970443349755,0.8527185134205091,0.854795439302481,0.8618484170131113,0.867155144950621,0.8795669824086603,0.900566171266808,0.9073691460055098,0.9094722125131076,0.9336408800567781,0.9318702915165411,0.9404684450227718,0.9426011944260122,0.972529313232831,0.996014613085354,0.9906666666666666,1.0000000000000002,0.9999999999999998,0.9999999999999998,0.9999999999999998,1.0,1.0,1.0,1.0000000000000002,1.0
KOR,"Korea, Rep.",0.5570021111893033,0.6238816242257399,0.6901408450704223,0.6885193476175244,0.7065944568333864,0.6894451962110959,0.686128803963199,0.6790633608815428,0.6679482698357218,0.6795599716110718,0.7058630854896824,0.7156798959011061,0.7342402123424023,0.7336683417085426,0.7572235137827963,0.7409999999999999,0.7319784058431249,0.7240199128811449,0.68888233559422,0.6833099579242634,0.6971938775510202,0.7221542227662181,0.7502510040160646,0.7478576992988837,0.7441199276298787
MEX,Mexico,0.6642329345531315,0.700447350309704,0.7244718309859148,0.7324734392211205,0.738947293901101,0.5642760487144787,0.5796178343949043,0.5705922865013775,0.5529535127577772,0.5645848119233499,0.5836881755650178,0.5888093689004557,0.6204379562043794,0.6067001675041879,0.5858518764530054,0.5689999999999997,0.5722451571927596,0.5547604231487242,0.540843409023887,0.555399719495091,0.6836309523809523,0.587515299877601,0.600401606425703,0.6042586341210077,0.5975704316360815
RUS,Russian Federation,0.6642329345531315,0.700447350309704,0.7244718309859148,0.7324734392211205,0.738947293901101,0.7229979087218594,0.6749823071479122,0.6740128558310376,0.6765408365373413,0.6725810267329075,0.833606288896168,0.8490566037735847,0.8878566688785667,0.8726968174204357,0.8820989704417139,0.8539999999999999,0.8564623690060336,0.8385189794648416,0.8177528752580361,0.794670406732118,0.802551020408163,0.8484700122399023,0.7140855087014726,0.7101402233186187,0.6877041283864753
TUR,TÃ¼rkiye,0.6642329345531315,0.700447350309704,0.7244718309859148,0.7324734392211205,0.738947293901101,0.7229979087218594,0.0,0.007575757575757569,0.0,0.012775017743080319,0.14543072387815248,0.21080026024723475,0.22196416721964152,0.22780569514237858,0.22451012952507465,0.21566666666666645,0.24198158145442994,0.2548226509023024,0.2574461810675315,0.21991584852734913,0.22882653061224478,0.32362301101591195,0.35667670682730934,0.34718254998701625,0.3721891961747221
USA,United States,1.0,1.0,0.9758551307847083,0.9501119283658457,0.9439311882765209,0.9526387009472259,0.9702760084925688,0.9418044077134986,0.9101712687871375,0.8431511710432931,0.8139534883720927,0.8044892648015616,0.8271400132714002,0.8251256281407033,0.842909332447692,0.8343333333333327,0.835820895522388,0.8322962041070319,0.8103804187555295,0.8106591865357642,0.7280612244897957,0.7924112607099145,0.8195281124497993,0.8187483770449233,0.8040837425691392
ZAF,South Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.011323425336164261,0.0,0.037399510660608204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Source: OECD,,0.6642329345531315,0.700447350309704,0.7244718309859148,0.7324734392211205,0.738947293901101,0.7229979087218594,0.6749823071479122,0.6740128558310376,0.6765408365373413,0.6725810267329075,0.6974980473178962,0.7059206245933634,0.7206625491297023,0.7166602241979128,0.7202820427662668,0.7082564102564095,0.7091872877836674,0.7034129529462445,0.686772678810426,0.6818427014780448,0.6836309523809523,0.7088033141888714,0.7140855087014726,0.7101402233186187,0.6877041283864753
Sustainable Development Report 2025 (www.sdgindex.org),,0.6642329345531315,0.700447350309704,0.7244718309859148,0.7324734392211205,0.738947293901101,0.7229979087218594,0.6749823071479122,0.6740128558310376,0.6765408365373413,0.6725810267329075,0.6974980473178962,0.7059206245933634,0.7206625491297023,0.7166602241979128,0.7202820427662668,0.7082564102564095,0.7091872877836674,0.7034129529462445,0.686772678810426,0.6818427014780448,0.6836309523809523,0.7088033141888714,0.7140855087014726,0.7101402233186187,0.6877041283864753
