ISO,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AUS,Australia,0.0,0.0,0.4999999999999929,0.0,0.30792682926829285,0.5000000000000036,0.49999999999999645,0.6333333333333329,0.6689189189189197,0.45454545454545503,0.625,0.5329545454545456,0.5333333333333334,0.5376344086021504,0.3793103448275863,0.3464912280701754,0.18681318681318682,0.31040462427745663,0.2407407407407407,0.39249999999999985,0.532608695652174,0.4454022988505745,0.508664627930683,0.0
BRA,Brazil,0.0,0.0,0.4999999999999929,0.0,0.30792682926829285,0.5000000000000036,0.49999999999999645,0.6333333333333329,0.6689189189189197,0.45454545454545503,0.625,0.5329545454545456,0.5583333333333336,0.5376344086021504,0.5530012771392083,0.3464912280701754,1.0,0.601156069364162,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,0.0
CAN,Canada,0.0,0.0,0.0,0.0,0.1585365853658538,0.5000000000000036,1.0,1.0,1.0000000000000004,1.0,0.875,0.4,0.4666666666666668,0.4408602150537634,0.35632183908045967,0.23391812865497075,0.2197802197802199,0.09248554913294793,0.18518518518518512,0.05999999999999983,0.09782608695652173,0.17241379310344818,0.3302752293577982,0.0
DEU,Germany,0.0,0.0,0.4999999999999929,0.0,0.30792682926829285,0.5000000000000036,0.49999999999999645,0.6333333333333329,0.0,0.45454545454545503,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42391304347826086,0.4454022988505745,0.508664627930683,0.0
FRA,France,0.0,0.0,0.4999999999999929,0.0,0.30792682926829285,0.5000000000000036,0.49999999999999645,0.6333333333333329,0.6689189189189197,0.45454545454545503,0.625,0.5329545454545456,0.5583333333333336,0.5376344086021504,0.5530012771392083,0.3464912280701754,0.43846153846153846,0.31040462427745663,0.45033670033670026,0.39249999999999985,0.0,0.0,0.0,0.0
GBR,United Kingdom,0.0,0.0,1.0,0.0,0.0,0.0,0.49999999999999645,0.9000000000000004,0.8918918918918926,0.0,0.0,0.15454545454545465,0.19999999999999996,0.13978494623655913,0.11494252873563227,0.04678362573099426,0.07692307692307687,0.08670520231213874,0.17592592592592582,0.1499999999999999,0.3804347826086957,0.275862068965517,0.32110091743119273,0.0
IND,India,0.0,0.0,0.4999999999999929,0.0,1.0000000000000002,0.5000000000000036,0.49999999999999645,0.6333333333333329,0.6689189189189197,0.45454545454545503,0.625,0.9999999999999999,0.5583333333333336,0.5376344086021504,0.5530012771392083,0.3464912280701754,0.43846153846153846,0.31040462427745663,0.45033670033670026,0.39249999999999985,0.5948616600790516,0.4454022988505745,0.508664627930683,0.0
ITA,Italy,0.0,0.0,0.4999999999999929,0.0,0.07317073170731714,1.0,0.0,0.0,0.7837837837837842,0.3636363636363633,1.0,0.3727272727272729,0.4380952380952381,0.4516129032258066,0.48275862068965525,0.2514619883040936,0.3626373626373627,0.20231213872832376,0.4074074074074072,0.27,0.6304347826086957,0.3706896551724138,0.35779816513761453,0.0
JPN,Japan,0.0,0.0,0.4999999999999929,0.0,0.30792682926829285,0.5000000000000036,0.49999999999999645,0.6333333333333329,0.6689189189189197,0.45454545454545503,0.625,0.5329545454545456,0.5583333333333336,0.5376344086021504,0.5530012771392083,0.3464912280701754,0.43846153846153846,0.31040462427745663,0.5462962962962961,0.39249999999999985,0.5948616600790516,0.5948275862068965,0.508664627930683,0.0
KOR,"Korea, Rep.",0.0,0.0,0.4999999999999929,0.0,0.30792682926829285,0.5000000000000036,0.49999999999999645,0.6333333333333329,0.6689189189189197,0.45454545454545503,0.625,0.9000000000000002,0.9428571428571431,1.0,1.0000000000000002,0.432748538011696,0.7912087912087915,0.39884393063583823,0.6388888888888886,0.54,0.8043478260869567,0.543103448275862,0.6055045871559632,0.0
MEX,Mexico,0.0,0.0,0.4999999999999929,0.0,0.30792682926829285,0.5000000000000036,0.49999999999999645,0.6333333333333329,0.6689189189189197,0.45454545454545503,0.625,0.5329545454545456,1.0,0.5376344086021504,0.8275862068965518,0.3464912280701754,0.6813186813186816,0.31040462427745663,0.5648148148148147,0.39249999999999985,0.9673913043478263,0.4454022988505745,0.6146788990825689,0.0
RUS,Russian Federation,0.0,0.0,0.4999999999999929,0.0,0.30792682926829285,0.5000000000000036,0.49999999999999645,0.6333333333333329,0.6689189189189197,0.45454545454545503,0.625,0.5363636363636365,0.5583333333333336,0.5376344086021504,0.5530012771392083,0.3464912280701754,0.25274725274725274,0.06358381502890176,0.45033670033670026,0.39249999999999985,0.5948616600790516,0.4454022988505745,0.508664627930683,0.0
TUR,TÃ¼rkiye,0.0,0.0,0.4999999999999929,0.0,0.30792682926829285,0.5000000000000036,0.49999999999999645,0.6333333333333329,0.6689189189189197,0.45454545454545503,0.625,0.9000000000000002,0.8857142857142857,0.8602150537634411,0.8965517241379313,0.41520467836257313,0.43846153846153846,0.23121387283237005,0.4259259259259258,0.4099999999999999,0.7608695652173912,0.47413793103448276,0.4495412844036697,0.0
USA,United States,0.0,0.0,0.4999999999999929,0.0,0.30792682926829285,0.5000000000000036,0.49999999999999645,0.6333333333333329,0.6689189189189197,0.45454545454545503,0.625,0.5329545454545456,0.5583333333333336,0.8709677419354839,0.9195402298850575,0.39181286549707606,0.8131868131868134,0.4277456647398845,0.7685185185185186,0.71,0.9456521739130433,0.5775862068965515,0.8990825688073396,0.0
ZAF,South Africa,0.0,0.0,0.4999999999999929,0.0,0.30792682926829285,0.5000000000000036,0.49999999999999645,0.6333333333333329,0.6689189189189197,0.45454545454545503,0.625,0.5329545454545456,0.5583333333333336,0.5376344086021504,0.5530012771392083,1.0,0.43846153846153846,1.0000000000000002,0.45033670033670026,0.39249999999999985,0.5948616600790516,0.4454022988505745,0.508664627930683,0.0
